ESTADO,REGIÃO,GÊNERO,GRUPO ETÁRIO,ANO,2010
RIO GRANDE DO NORTE,NORDESTE,HOMENS,80-84,2010,1337
RIO GRANDE DO NORTE,NORDESTE,HOMENS,85-89,2010,7924
RIO GRANDE DO NORTE,NORDESTE,HOMENS,90+,2010,4336
RIO GRANDE DO NORTE,NORDESTE,MULHERES,0-4,2010,126158
RIO GRANDE DO NORTE,NORDESTE,MULHERES,5-9,2010,133256
RIO GRANDE DO NORTE,NORDESTE,MULHERES,10-14,2010,145957
RIO GRANDE DO NORTE,NORDESTE,MULHERES,15-19,2010,149374
RIO GRANDE DO NORTE,NORDESTE,MULHERES,20-24,2010,156576
RIO GRANDE DO NORTE,NORDESTE,MULHERES,25-29,2010,147147
RIO GRANDE DO NORTE,NORDESTE,MULHERES,30-34,2010,130679
RIO GRANDE DO NORTE,NORDESTE,MULHERES,35-39,2010,116755
RIO GRANDE DO NORTE,NORDESTE,MULHERES,40-44,2010,112973
RIO GRANDE DO NORTE,NORDESTE,MULHERES,45-49,2010,101144
RIO GRANDE DO NORTE,NORDESTE,MULHERES,50-54,2010,78679
RIO GRANDE DO NORTE,NORDESTE,MULHERES,55-59,2010,63016
RIO GRANDE DO NORTE,NORDESTE,MULHERES,60-64,2010,57135
RIO GRANDE DO NORTE,NORDESTE,MULHERES,65-69,2010,42481
RIO GRANDE DO NORTE,NORDESTE,MULHERES,70-74,2010,35305
RIO GRANDE DO NORTE,NORDESTE,MULHERES,75-79,2010,23538
RIO GRANDE DO NORTE,NORDESTE,MULHERES,80-84,2010,18305
RIO GRANDE DO NORTE,NORDESTE,MULHERES,85-89,2010,10685
RIO GRANDE DO NORTE,NORDESTE,MULHERES,90+,2010,6639
PARAÍBA,NORDESTE,HOMENS,0-4,2010,155311
PARAÍBA,NORDESTE,HOMENS,5-9,2010,168662
PARAÍBA,NORDESTE,HOMENS,10-14,2010,179647
PARAÍBA,NORDESTE,HOMENS,15-19,2010,180181
PARAÍBA,NORDESTE,HOMENS,20-24,2010,173748
PARAÍBA,NORDESTE,HOMENS,25-29,2010,162771
PARAÍBA,NORDESTE,HOMENS,30-34,2010,146459
PARAÍBA,NORDESTE,HOMENS,35-39,2010,126678
PARAÍBA,NORDESTE,HOMENS,40-44,2010,117636
PARAÍBA,NORDESTE,HOMENS,45-49,2010,103441
PARAÍBA,NORDESTE,HOMENS,50-54,2010,81115
PARAÍBA,NORDESTE,HOMENS,55-59,2010,67434
PARAÍBA,NORDESTE,HOMENS,60-64,2010,59066
PARAÍBA,NORDESTE,HOMENS,65-69,2010,45421
PARAÍBA,NORDESTE,HOMENS,70-74,2010,37086
PARAÍBA,NORDESTE,HOMENS,75-79,2010,2338
PARAÍBA,NORDESTE,HOMENS,80-84,2010,17104
PARAÍBA,NORDESTE,HOMENS,85-89,2010,10175
PARAÍBA,NORDESTE,HOMENS,90+,2010,5908
PARAÍBA,NORDESTE,MULHERES,0-4,2010,148346
PARAÍBA,NORDESTE,MULHERES,5-9,2010,162695
PARAÍBA,NORDESTE,MULHERES,10-14,2010,173837
PARAÍBA,NORDESTE,MULHERES,15-19,2010,177642
PARAÍBA,NORDESTE,MULHERES,20-24,2010,177512
PARAÍBA,NORDESTE,MULHERES,25-29,2010,169256
PARAÍBA,NORDESTE,MULHERES,30-34,2010,155378
PARAÍBA,NORDESTE,MULHERES,35-39,2010,137164
PARAÍBA,NORDESTE,MULHERES,40-44,2010,129483
PARAÍBA,NORDESTE,MULHERES,45-49,2010,113901
PARAÍBA,NORDESTE,MULHERES,50-54,2010,93444
PARAÍBA,NORDESTE,MULHERES,55-59,2010,81463
PARAÍBA,NORDESTE,MULHERES,60-64,2010,72485
PARAÍBA,NORDESTE,MULHERES,65-69,2010,57312
PARAÍBA,NORDESTE,MULHERES,70-74,2010,49503
PARAÍBA,NORDESTE,MULHERES,75-79,2010,32383
PARAÍBA,NORDESTE,MULHERES,80-84,2010,24308
PARAÍBA,NORDESTE,MULHERES,85-89,2010,14088
PARAÍBA,NORDESTE,MULHERES,90+,2010,9373
PERNAMBUCO,NORDESTE,HOMENS,0-4,2010,377368
PERNAMBUCO,NORDESTE,HOMENS,5-9,2010,399486
PERNAMBUCO,NORDESTE,HOMENS,10-14,2010,429335
PERNAMBUCO,NORDESTE,HOMENS,15-19,2010,413048
PERNAMBUCO,NORDESTE,HOMENS,20-24,2010,408323
PERNAMBUCO,NORDESTE,HOMENS,25-29,2010,384161
PERNAMBUCO,NORDESTE,HOMENS,30-34,2010,349403
PERNAMBUCO,NORDESTE,HOMENS,35-39,2010,305647
PERNAMBUCO,NORDESTE,HOMENS,40-44,2010,274866
